City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
368,lufilufi,-13.8745,-171.5986,80.38,78,95,16.24,WS,1675551336
369,kargopol,61.5071,38.9456,15.4,97,100,3.83,RU,1675551336
370,magadan,59.5667,150.8,-12.39,82,42,6.22,RU,1675551337
371,tres arroyos,-38.3739,-60.2798,72.86,36,0,11.63,AR,1675551337
372,ponerihouen,-21.0833,165.4,85.48,75,75,15.52,NC,1675551337
373,saint-augustin,51.226,-58.6502,11.46,80,69,26.4,CA,1675551229
374,remontnoye,46.5614,43.6501,32.86,72,100,5.23,RU,1675551338
375,kawalu,-7.3817,108.2082,71.35,89,97,2.1,ID,1675551286
376,burnie,-41.0667,145.9167,63.59,52,4,9.57,AU,1675551338
377,prince rupert,54.3161,-130.3201,46.09,91,100,29.93,CA,1675551046
378,pampa,35.5362,-100.9599,70.75,16,0,14.97,US,1675551339
379,durazno,-33.4131,-56.5006,69.93,40,0,10.49,UY,1675551168
380,banda aceh,5.5577,95.3222,76.84,85,91,6.38,ID,1675551339
381,pacific grove,36.6177,-121.9166,61.07,88,100,15.01,US,1675551104
382,pingliang,35.5392,106.6861,32.7,66,100,2.1,CN,1675551340
383,shubarshi,48.5872,57.1869,7.9,89,85,8.88,KZ,1675551340
384,beziers,43.3476,3.219,50.4,62,0,17.27,FR,1675551340
385,lazaro cardenas,17.9583,-102.2,84.29,52,0,13.02,MX,1675551341
386,saboya,5.6964,-73.7693,52.72,87,81,1.21,CO,1675551341
387,hofn,64.2539,-15.2082,32.7,63,62,7.65,IS,1675551342
388,shu,43.5983,73.7614,31.19,92,100,1.25,KZ,1675551342
389,bushehr,28.9684,50.8385,59.09,63,40,0.0,IR,1675551342
390,daru,-9.0763,143.2092,75.49,93,100,8.97,PG,1675551343
391,middletown,39.5151,-84.3983,47.48,34,0,19.57,US,1675551343
392,buraydah,26.326,43.975,54.05,35,0,11.3,SA,1675551046
393,chern,53.4523,36.9145,25.11,96,100,4.68,RU,1675551344
394,mizdah,31.4451,12.9801,47.48,65,20,7.54,LY,1675551344
395,sutesti,45.2167,27.4333,30.78,80,100,22.41,RO,1675551344
396,ocos,14.5094,-92.1933,82.62,62,0,7.83,GT,1675551345
397,gayeri,12.6497,0.4931,81.77,14,14,7.45,BF,1675551345
398,hokitika,-42.7167,170.9667,65.19,93,100,20.29,NZ,1675551346
399,nouadhibou,20.931,-17.0347,67.98,28,86,17.27,MR,1675551346
400,hualmay,-11.0964,-77.6139,73.49,78,96,7.52,PE,1675551346
401,soyo,-6.1349,12.3689,80.19,85,94,8.57,AO,1675551347
402,auki,-8.7676,160.7034,81.88,83,100,6.2,SB,1675551347
403,henties bay,-22.116,14.2845,64.2,87,97,7.49,NA,1675551348
404,prescott,34.54,-112.4685,62.71,20,0,0.0,US,1675551348
405,kysyl-syr,63.8986,122.7617,-27.8,98,100,4.09,RU,1675551348
406,bathsheba,13.2167,-59.5167,79.41,78,75,21.85,BB,1675551349
407,kasongo-lunda,-6.4667,16.8167,68.85,98,100,1.7,CD,1675551245
408,kapoeta,4.7717,33.5903,83.3,27,62,5.03,SS,1675551349
409,jyvaskyla,62.2415,25.7209,-1.86,92,0,1.14,FI,1675551350
410,opuwo,-18.0607,13.84,71.37,35,82,4.45,NA,1675551350
411,kerema,-7.9631,145.7785,78.21,86,100,8.41,PG,1675551350
412,lavrentiya,65.5833,-171.0,-11.22,94,91,6.67,RU,1675551057
413,pangai,-19.8,-174.35,80.78,73,84,27.25,TO,1675551351
414,oussouye,12.485,-16.5469,75.38,49,30,8.93,SN,1675551351
415,galle,6.0367,80.217,76.1,88,43,1.25,LK,1675551352
416,saldanha,-33.0117,17.9442,66.25,96,93,14.43,ZA,1675551352
417,kawerau,-38.1,176.7,71.38,92,96,1.01,NZ,1675551352
418,umba,66.6871,34.3429,10.17,93,84,6.24,RU,1675551353
419,ouadda,8.0777,22.4007,69.37,18,77,5.57,CF,1675551353
420,masuguru,-11.3667,38.4167,71.11,95,69,2.37,TZ,1675551354
421,cine,37.6117,28.0614,38.61,93,89,2.84,TR,1675551354
422,gambela,8.25,34.5833,80.38,29,25,3.38,ET,1675551354
423,tomatlan,19.9333,-105.25,88.03,33,4,8.59,MX,1675551355
424,fairbanks,64.8378,-147.7164,11.91,81,100,4.61,US,1675551355
425,mandalgovi,45.7625,106.2708,10.15,54,100,6.51,MN,1675551355
426,whitehorse,60.7161,-135.0538,14.02,83,75,4.61,CA,1675551356
427,baloda bazar,21.6667,82.1667,57.76,26,44,3.51,IN,1675551356
428,satana,20.5833,74.2,64.36,34,5,2.62,IN,1675551357
429,salmas,38.1973,44.7653,22.53,66,55,3.38,IR,1675551357
430,toro,4.6117,-76.0814,83.48,85,55,4.45,CO,1675551357
431,tanggu,39.0211,117.6469,26.56,60,0,6.96,CN,1675551358
432,yuancheng,36.652,107.7896,27.59,65,87,3.53,CN,1675551358
433,bassano,50.7834,-112.4685,39.69,78,31,7.65,CA,1675551358
434,sakaiminato,35.55,133.2333,33.78,93,75,1.14,JP,1675551152
435,peniche,39.3558,-9.3811,51.12,90,0,12.84,PT,1675551359
436,bulungu,-4.55,18.6,69.06,94,96,1.45,CD,1675551360
437,lamu,-2.2717,40.902,79.02,88,45,9.62,KE,1675551360
438,tra vinh,9.9347,106.3453,76.21,75,95,11.9,VN,1675551360
439,meulaboh,4.1363,96.1285,74.77,87,98,3.62,ID,1675551361
440,kupang,-10.1667,123.5833,75.78,100,100,4.61,ID,1675551361
441,qasigiannguit,68.8193,-51.1922,-1.95,99,77,5.95,GL,1675551362
442,grindavik,63.8424,-22.4338,34.27,100,100,14.97,IS,1675551149
443,tinde,-3.8833,33.2,64.27,74,34,3.36,TZ,1675551362
444,loikaw,19.6742,97.2094,60.21,80,79,2.64,MM,1675551363
445,sao jose da coroa grande,-8.8978,-35.1478,78.91,81,41,7.47,BR,1675551363
446,thinadhoo,0.5333,72.9333,79.9,72,34,11.54,MV,1675551364
447,katsuura,35.1333,140.3,44.89,66,11,14.43,JP,1675551364
448,moose factory,51.2585,-80.6094,12.2,85,100,3.44,CA,1675551365
449,sibolga,1.7427,98.7792,75.34,86,100,2.64,ID,1675551366
450,talnakh,69.4865,88.3972,9.21,95,100,7.0,RU,1675551366
451,puerto carreno,6.189,-67.4859,87.78,55,20,14.97,CO,1675551367
452,griffith,41.5284,-87.4237,42.73,61,0,17.27,US,1675551180
453,mont-de-marsan,44.0,-0.6667,46.78,94,100,2.3,FR,1675551367
454,akdepe,42.0551,59.3788,35.69,79,17,12.19,TM,1675551368
